Year,State,Metric,Age Range,"Events per 1,000 women"
1988,RI,Pregnancy Rate,30-34,113.40000000000001
1992,RI,Pregnancy Rate,30-34,121.5
1996,RI,Pregnancy Rate,30-34,126.5
2000,RI,Pregnancy Rate,30-34,125
2005,RI,Pregnancy Rate,30-34,145.59999999999999
2006,RI,Pregnancy Rate,30-34,139.80000000000001
2007,RI,Pregnancy Rate,30-34,140.40000000000001
2008,RI,Pregnancy Rate,30-34,140.80000000000001
2009,RI,Pregnancy Rate,30-34,134.30000000000001
2010,RI,Pregnancy Rate,30-34,135.80000000000001
2011,RI,Pregnancy Rate,30-34,133.19999999999999
2012,RI,Pregnancy Rate,30-34,133.90000000000001
2013,RI,Pregnancy Rate,30-34,133.90000000000001
2014,RI,Pregnancy Rate,30-34,137.30000000000001
2015,RI,Pregnancy Rate,30-34,142.69999999999999
2016,RI,Pregnancy Rate,30-34,139.90000000000001
1988,SC,Pregnancy Rate,30-34,91.200000000000003
1992,SC,Pregnancy Rate,30-34,90.700000000000003
1996,SC,Pregnancy Rate,30-34,93.299999999999997
2000,SC,Pregnancy Rate,30-34,100.5
2005,SC,Pregnancy Rate,30-34,113.7
2006,SC,Pregnancy Rate,30-34,118.3
2007,SC,Pregnancy Rate,30-34,119.3
2008,SC,Pregnancy Rate,30-34,116.7
2009,SC,Pregnancy Rate,30-34,115
2010,SC,Pregnancy Rate,30-34,113.5
2011,SC,Pregnancy Rate,30-34,112.3
2012,SC,Pregnancy Rate,30-34,114.40000000000001
2013,SC,Pregnancy Rate,30-34,117.40000000000001
2014,SC,Pregnancy Rate,30-34,119.90000000000001
2015,SC,Pregnancy Rate,30-34,121.3
2016,SC,Pregnancy Rate,30-34,122.09999999999999
1988,SD,Pregnancy Rate,30-34,100.5
1992,SD,Pregnancy Rate,30-34,106.7
1996,SD,Pregnancy Rate,30-34,112.90000000000001
2000,SD,Pregnancy Rate,30-34,122.2
2005,SD,Pregnancy Rate,30-34,133.19999999999999
2006,SD,Pregnancy Rate,30-34,138.30000000000001
2007,SD,Pregnancy Rate,30-34,140.90000000000001
2008,SD,Pregnancy Rate,30-34,141.30000000000001
2009,SD,Pregnancy Rate,30-34,139.09999999999999
2010,SD,Pregnancy Rate,30-34,135.09999999999999
2011,SD,Pregnancy Rate,30-34,135.40000000000001
2012,SD,Pregnancy Rate,30-34,139.90000000000001
2013,SD,Pregnancy Rate,30-34,140.90000000000001
2014,SD,Pregnancy Rate,30-34,148.69999999999999
2015,SD,Pregnancy Rate,30-34,154.19999999999999
2016,SD,Pregnancy Rate,30-34,152.80000000000001
1988,TN,Pregnancy Rate,30-34,77.900000000000006
1992,TN,Pregnancy Rate,30-34,83.700000000000003
1996,TN,Pregnancy Rate,30-34,86.099999999999994
2000,TN,Pregnancy Rate,30-34,99.299999999999997
2005,TN,Pregnancy Rate,30-34,104.3
2006,TN,Pregnancy Rate,30-34,106.3
2007,TN,Pregnancy Rate,30-34,110.59999999999999
2008,TN,Pregnancy Rate,30-34,110.09999999999999
2009,TN,Pregnancy Rate,30-34,105.8
2010,TN,Pregnancy Rate,30-34,105.40000000000001
2011,TN,Pregnancy Rate,30-34,107.2
2012,TN,Pregnancy Rate,30-34,109.2
2013,TN,Pregnancy Rate,30-34,112
2014,TN,Pregnancy Rate,30-34,115.59999999999999
2015,TN,Pregnancy Rate,30-34,116.8
2016,TN,Pregnancy Rate,30-34,118.90000000000001
1988,TX,Pregnancy Rate,30-34,106.3
1992,TX,Pregnancy Rate,30-34,110
1996,TX,Pregnancy Rate,30-34,109.59999999999999
2000,TX,Pregnancy Rate,30-34,126.8
2005,TX,Pregnancy Rate,30-34,132
2006,TX,Pregnancy Rate,30-34,131.40000000000001
2007,TX,Pregnancy Rate,30-34,132.5
2008,TX,Pregnancy Rate,30-34,132.40000000000001
2009,TX,Pregnancy Rate,30-34,130.09999999999999
2010,TX,Pregnancy Rate,30-34,126.90000000000001
2011,TX,Pregnancy Rate,30-34,125.5
2012,TX,Pregnancy Rate,30-34,127.09999999999999
2013,TX,Pregnancy Rate,30-34,127.2
2014,TX,Pregnancy Rate,30-34,131
2015,TX,Pregnancy Rate,30-34,132.5
2016,TX,Pregnancy Rate,30-34,132.09999999999999
1973,US,Pregnancy Rate,30-34,78.5
1974,US,Pregnancy Rate,30-34,78.5
1975,US,Pregnancy Rate,30-34,77.700000000000003
1976,US,Pregnancy Rate,30-34,80.299999999999997
1977,US,Pregnancy Rate,30-34,84.299999999999997
1978,US,Pregnancy Rate,30-34,86.799999999999997
1979,US,Pregnancy Rate,30-34,89.900000000000006
1980,US,Pregnancy Rate,30-34,91.799999999999997
1981,US,Pregnancy Rate,30-34,92.700000000000003
1982,US,Pregnancy Rate,30-34,95.900000000000006
1983,US,Pregnancy Rate,30-34,97
1984,US,Pregnancy Rate,30-34,99.599999999999994
1985,US,Pregnancy Rate,30-34,102.09999999999999
1986,US,Pregnancy Rate,30-34,103.40000000000001
1987,US,Pregnancy Rate,30-34,106.09999999999999
1988,US,Pregnancy Rate,30-34,109.5
1989,US,Pregnancy Rate,30-34,112.90000000000001
1990,US,Pregnancy Rate,30-34,117.7
1991,US,Pregnancy Rate,30-34,115.5
1992,US,Pregnancy Rate,30-34,115.90000000000001
1993,US,Pregnancy Rate,30-34,115.90000000000001
1994,US,Pregnancy Rate,30-34,116
1995,US,Pregnancy Rate,30-34,116.2
1996,US,Pregnancy Rate,30-34,117.59999999999999
1997,US,Pregnancy Rate,30-34,118.7
1998,US,Pregnancy Rate,30-34,121.59999999999999
1999,US,Pregnancy Rate,30-34,124.2
2000,US,Pregnancy Rate,30-34,129.5
2001,US,Pregnancy Rate,30-34,130.40000000000001
2002,US,Pregnancy Rate,30-34,131.40000000000001
2003,US,Pregnancy Rate,30-34,135
2004,US,Pregnancy Rate,30-34,135.19999999999999
2005,US,Pregnancy Rate,30-34,135.59999999999999
2006,US,Pregnancy Rate,30-34,138.80000000000001
2007,US,Pregnancy Rate,30-34,140.40000000000001
2008,US,Pregnancy Rate,30-34,139.19999999999999
2009,US,Pregnancy Rate,30-34,136
2010,US,Pregnancy Rate,30-34,133.80000000000001
2011,US,Pregnancy Rate,30-34,133.59999999999999
2012,US,Pregnancy Rate,30-34,134.09999999999999
2013,US,Pregnancy Rate,30-34,134.09999999999999
2014,US,Pregnancy Rate,30-34,137.40000000000001
2015,US,Pregnancy Rate,30-34,138.30000000000001
2016,US,Pregnancy Rate,30-34,139.09999999999999
1988,UT,Pregnancy Rate,30-34,129.59999999999999
1992,UT,Pregnancy Rate,30-34,130.40000000000001
1996,UT,Pregnancy Rate,30-34,132.40000000000001
2000,UT,Pregnancy Rate,30-34,147.69999999999999
2005,UT,Pregnancy Rate,30-34,152.69999999999999
2006,UT,Pregnancy Rate,30-34,157
2007,UT,Pregnancy Rate,30-34,159.59999999999999
2008,UT,Pregnancy Rate,30-34,158.30000000000001
2009,UT,Pregnancy Rate,30-34,157.5
2010,UT,Pregnancy Rate,30-34,152.09999999999999
2011,UT,Pregnancy Rate,30-34,152
2012,UT,Pregnancy Rate,30-34,150.80000000000001
2013,UT,Pregnancy Rate,30-34,153.90000000000001
2014,UT,Pregnancy Rate,30-34,153.69999999999999
2015,UT,Pregnancy Rate,30-34,155.40000000000001
2016,UT,Pregnancy Rate,30-34,156.80000000000001
1988,VT,Pregnancy Rate,30-34,109.7
1992,VT,Pregnancy Rate,30-34,108.7
1996,VT,Pregnancy Rate,30-34,110.59999999999999
2000,VT,Pregnancy Rate,30-34,110.90000000000001
2005,VT,Pregnancy Rate,30-34,117.7
2006,VT,Pregnancy Rate,30-34,123.90000000000001
2007,VT,Pregnancy Rate,30-34,122.2
2008,VT,Pregnancy Rate,30-34,127.90000000000001
2009,VT,Pregnancy Rate,30-34,124.40000000000001
2010,VT,Pregnancy Rate,30-34,135
2011,VT,Pregnancy Rate,30-34,123.2
2012,VT,Pregnancy Rate,30-34,127.59999999999999
2013,VT,Pregnancy Rate,30-34,126.8
2014,VT,Pregnancy Rate,30-34,133.80000000000001
2015,VT,Pregnancy Rate,30-34,134.40000000000001
2016,VT,Pregnancy Rate,30-34,132
1988,VA,Pregnancy Rate,30-34,105.3
1992,VA,Pregnancy Rate,30-34,112.09999999999999
1996,VA,Pregnancy Rate,30-34,113
2000,VA,Pregnancy Rate,30-34,128.90000000000001
2005,VA,Pregnancy Rate,30-34,136.69999999999999
2006,VA,Pregnancy Rate,30-34,141.90000000000001
2007,VA,Pregnancy Rate,30-34,145.09999999999999
2008,VA,Pregnancy Rate,30-34,143.09999999999999
2009,VA,Pregnancy Rate,30-34,143.59999999999999
2010,VA,Pregnancy Rate,30-34,141.59999999999999
2011,VA,Pregnancy Rate,30-34,140.59999999999999
2012,VA,Pregnancy Rate,30-34,143.5
2013,VA,Pregnancy Rate,30-34,143.59999999999999
2014,VA,Pregnancy Rate,30-34,143.59999999999999
2015,VA,Pregnancy Rate,30-34,144.5
2016,VA,Pregnancy Rate,30-34,144.30000000000001
1988,WA,Pregnancy Rate,30-34,108
1992,WA,Pregnancy Rate,30-34,117.8
1996,WA,Pregnancy Rate,30-34,113.59999999999999
2000,WA,Pregnancy Rate,30-34,129.69999999999999
2005,WA,Pregnancy Rate,30-34,132.69999999999999
2006,WA,Pregnancy Rate,30-34,136.40000000000001
2007,WA,Pregnancy Rate,30-34,139.5
2008,WA,Pregnancy Rate,30-34,139.30000000000001
2009,WA,Pregnancy Rate,30-34,137.5
2010,WA,Pregnancy Rate,30-34,135.5
2011,WA,Pregnancy Rate,30-34,135.5
2012,WA,Pregnancy Rate,30-34,137.5
2013,WA,Pregnancy Rate,30-34,136.5
2014,WA,Pregnancy Rate,30-34,139.30000000000001
2015,WA,Pregnancy Rate,30-34,140.69999999999999
2016,WA,Pregnancy Rate,30-34,142.19999999999999
1988,WV,Pregnancy Rate,30-34,66
1992,WV,Pregnancy Rate,30-34,68.900000000000006
1996,WV,Pregnancy Rate,30-34,74.900000000000006
2000,WV,Pregnancy Rate,30-34,78.599999999999994
2005,WV,Pregnancy Rate,30-34,89.299999999999997
2006,WV,Pregnancy Rate,30-34,89.200000000000003
2007,WV,Pregnancy Rate,30-34,97.799999999999997
2008,WV,Pregnancy Rate,30-34,92.400000000000006
2009,WV,Pregnancy Rate,30-34,94.400000000000006
2010,WV,Pregnancy Rate,30-34,93.5
2011,WV,Pregnancy Rate,30-34,96
2012,WV,Pregnancy Rate,30-34,97.700000000000003
2013,WV,Pregnancy Rate,30-34,98.200000000000003
2014,WV,Pregnancy Rate,30-34,96.299999999999997
2015,WV,Pregnancy Rate,30-34,101.59999999999999
2016,WV,Pregnancy Rate,30-34,104
1988,WI,Pregnancy Rate,30-34,101.09999999999999
1992,WI,Pregnancy Rate,30-34,107.59999999999999
1996,WI,Pregnancy Rate,30-34,114
2000,WI,Pregnancy Rate,30-34,125.40000000000001
2005,WI,Pregnancy Rate,30-34,131.19999999999999
2006,WI,Pregnancy Rate,30-34,131.30000000000001
2007,WI,Pregnancy Rate,30-34,133.90000000000001
2008,WI,Pregnancy Rate,30-34,134
2009,WI,Pregnancy Rate,30-34,132.80000000000001
2010,WI,Pregnancy Rate,30-34,134.30000000000001
2011,WI,Pregnancy Rate,30-34,133.40000000000001
2012,WI,Pregnancy Rate,30-34,132.90000000000001
2013,WI,Pregnancy Rate,30-34,133.80000000000001
2014,WI,Pregnancy Rate,30-34,136.90000000000001
2015,WI,Pregnancy Rate,30-34,139.90000000000001
2016,WI,Pregnancy Rate,30-34,144.09999999999999
1988,WY,Pregnancy Rate,30-34,87.099999999999994
1992,WY,Pregnancy Rate,30-34,90.700000000000003
1996,WY,Pregnancy Rate,30-34,98.299999999999997
2000,WY,Pregnancy Rate,30-34,99.900000000000006
2005,WY,Pregnancy Rate,30-34,109.40000000000001
2006,WY,Pregnancy Rate,30-34,113
2007,WY,Pregnancy Rate,30-34,117.3
2008,WY,Pregnancy Rate,30-34,117
2009,WY,Pregnancy Rate,30-34,118.3
2010,WY,Pregnancy Rate,30-34,109.90000000000001
2011,WY,Pregnancy Rate,30-34,114.2
2012,WY,Pregnancy Rate,30-34,115.59999999999999
2013,WY,Pregnancy Rate,30-34,113.5
2014,WY,Pregnancy Rate,30-34,116.3
2015,WY,Pregnancy Rate,30-34,121.5
2016,WY,Pregnancy Rate,30-34,123.5
1988,AL,Pregnancy Rate,40+,6.0999999999999996
1992,AL,Pregnancy Rate,40+,6.5
1996,AL,Pregnancy Rate,40+,6.9000000000000004
2000,AL,Pregnancy Rate,40+,7.2000000000000002
2005,AL,Pregnancy Rate,40+,8.3000000000000007
2006,AL,Pregnancy Rate,40+,8.4000000000000004
2007,AL,Pregnancy Rate,40+,8.3000000000000007
2008,AL,Pregnancy Rate,40+,8.1999999999999993
2009,AL,Pregnancy Rate,40+,8.5999999999999996
2010,AL,Pregnancy Rate,40+,9.0999999999999996
2011,AL,Pregnancy Rate,40+,9.0999999999999996
2012,AL,Pregnancy Rate,40+,8.5999999999999996
2013,AL,Pregnancy Rate,40+,8.4000000000000004
2014,AL,Pregnancy Rate,40+,8.6999999999999993
2015,AL,Pregnancy Rate,40+,8.9000000000000004
2016,AL,Pregnancy Rate,40+,9
1988,AK,Pregnancy Rate,40+,11.300000000000001
1992,AK,Pregnancy Rate,40+,12.5
1996,AK,Pregnancy Rate,40+,13.6
2000,AK,Pregnancy Rate,40+,14.1
2005,AK,Pregnancy Rate,40+,18.199999999999999
2006,AK,Pregnancy Rate,40+,16.300000000000001
2007,AK,Pregnancy Rate,40+,17.300000000000001
2008,AK,Pregnancy Rate,40+,18
2009,AK,Pregnancy Rate,40+,16.399999999999999
2010,AK,Pregnancy Rate,40+,17.899999999999999
2011,AK,Pregnancy Rate,40+,17.100000000000001
2012,AK,Pregnancy Rate,40+,19.699999999999999
2013,AK,Pregnancy Rate,40+,18.800000000000001
2014,AK,Pregnancy Rate,40+,17.800000000000001
2015,AK,Pregnancy Rate,40+,16.800000000000001
2016,AK,Pregnancy Rate,40+,17
1988,AZ,Pregnancy Rate,40+,9.5
1992,AZ,Pregnancy Rate,40+,10.800000000000001
1996,AZ,Pregnancy Rate,40+,12.699999999999999
2000,AZ,Pregnancy Rate,40+,13.6
2005,AZ,Pregnancy Rate,40+,14.800000000000001
2006,AZ,Pregnancy Rate,40+,16.199999999999999
2007,AZ,Pregnancy Rate,40+,16.899999999999999
2008,AZ,Pregnancy Rate,40+,15.6
2009,AZ,Pregnancy Rate,40+,15.6
2010,AZ,Pregnancy Rate,40+,15.199999999999999
2011,AZ,Pregnancy Rate,40+,16.199999999999999
2012,AZ,Pregnancy Rate,40+,16.300000000000001
2013,AZ,Pregnancy Rate,40+,15.4
2014,AZ,Pregnancy Rate,40+,15.800000000000001
2015,AZ,Pregnancy Rate,40+,16.199999999999999
2016,AZ,Pregnancy Rate,40+,16.100000000000001
1988,AR,Pregnancy Rate,40+,5.9000000000000004
1992,AR,Pregnancy Rate,40+,5.9000000000000004
1996,AR,Pregnancy Rate,40+,5.7000000000000002
2000,AR,Pregnancy Rate,40+,7.0999999999999996
2005,AR,Pregnancy Rate,40+,7.9000000000000004
2006,AR,Pregnancy Rate,40+,8.0999999999999996
2007,AR,Pregnancy Rate,40+,8.8000000000000007
2008,AR,Pregnancy Rate,40+,8.8000000000000007
2009,AR,Pregnancy Rate,40+,8
2010,AR,Pregnancy Rate,40+,8.5
2011,AR,Pregnancy Rate,40+,9.0999999999999996
2012,AR,Pregnancy Rate,40+,8.9000000000000004
2013,AR,Pregnancy Rate,40+,9.5999999999999996
2014,AR,Pregnancy Rate,40+,9.8000000000000007
2015,AR,Pregnancy Rate,40+,9.3000000000000007
2016,AR,Pregnancy Rate,40+,9.5
1988,CA,Pregnancy Rate,40+,15
1992,CA,Pregnancy Rate,40+,18.699999999999999
1996,CA,Pregnancy Rate,40+,19.800000000000001
2000,CA,Pregnancy Rate,40+,20.5
2005,CA,Pregnancy Rate,40+,22.300000000000001
2006,CA,Pregnancy Rate,40+,23.300000000000001
2007,CA,Pregnancy Rate,40+,23.699999999999999
2008,CA,Pregnancy Rate,40+,24.199999999999999
2009,CA,Pregnancy Rate,40+,24.100000000000001
2010,CA,Pregnancy Rate,40+,23.899999999999999
2011,CA,Pregnancy Rate,40+,24.199999999999999
2012,CA,Pregnancy Rate,40+,24.399999999999999
2013,CA,Pregnancy Rate,40+,24.100000000000001
2014,CA,Pregnancy Rate,40+,24.5
2015,CA,Pregnancy Rate,40+,24.899999999999999
2016,CA,Pregnancy Rate,40+,25.100000000000001
1988,CO,Pregnancy Rate,40+,9
1992,CO,Pregnancy Rate,40+,10.6
1996,CO,Pregnancy Rate,40+,12
2000,CO,Pregnancy Rate,40+,13.300000000000001
2005,CO,Pregnancy Rate,40+,15.9
2006,CO,Pregnancy Rate,40+,15.9
2007,CO,Pregnancy Rate,40+,16.800000000000001
2008,CO,Pregnancy Rate,40+,16.600000000000001
2009,CO,Pregnancy Rate,40+,17.800000000000001
2010,CO,Pregnancy Rate,40+,17.800000000000001
2011,CO,Pregnancy Rate,40+,17.899999999999999
2012,CO,Pregnancy Rate,40+,17
2013,CO,Pregnancy Rate,40+,16.399999999999999
2014,CO,Pregnancy Rate,40+,17.600000000000001
2015,CO,Pregnancy Rate,40+,17.199999999999999
2016,CO,Pregnancy Rate,40+,17.699999999999999
1988,CT,Pregnancy Rate,40+,9.0999999999999996
1992,CT,Pregnancy Rate,40+,11.300000000000001
1996,CT,Pregnancy Rate,40+,13.4
2000,CT,Pregnancy Rate,40+,15.199999999999999
2005,CT,Pregnancy Rate,40+,18.199999999999999
2006,CT,Pregnancy Rate,40+,18.899999999999999
2007,CT,Pregnancy Rate,40+,18.600000000000001
2008,CT,Pregnancy Rate,40+,18.600000000000001
2009,CT,Pregnancy Rate,40+,20
2010,CT,Pregnancy Rate,40+,19.600000000000001
2011,CT,Pregnancy Rate,40+,19.199999999999999
2012,CT,Pregnancy Rate,40+,18.899999999999999
2013,CT,Pregnancy Rate,40+,19
2014,CT,Pregnancy Rate,40+,19.899999999999999
2015,CT,Pregnancy Rate,40+,20
2016,CT,Pregnancy Rate,40+,22
1988,DE,Pregnancy Rate,40+,8.1999999999999993
1992,DE,Pregnancy Rate,40+,9.6999999999999993
1996,DE,Pregnancy Rate,40+,9.5
2000,DE,Pregnancy Rate,40+,11.199999999999999
2005,DE,Pregnancy Rate,40+,13.300000000000001
2006,DE,Pregnancy Rate,40+,13.9
2007,DE,Pregnancy Rate,40+,16
2008,DE,Pregnancy Rate,40+,14.6
2009,DE,Pregnancy Rate,40+,20.699999999999999
2010,DE,Pregnancy Rate,40+,17.300000000000001
2011,DE,Pregnancy Rate,40+,16.5
2012,DE,Pregnancy Rate,40+,15.4
2013,DE,Pregnancy Rate,40+,15.6
2014,DE,Pregnancy Rate,40+,17.699999999999999
2015,DE,Pregnancy Rate,40+,16.399999999999999
2016,DE,Pregnancy Rate,40+,17.5
2000,DC,Pregnancy Rate,40+,24.800000000000001
2005,DC,Pregnancy Rate,40+,33.200000000000003
2006,DC,Pregnancy Rate,40+,34.100000000000001
2007,DC,Pregnancy Rate,40+,31.899999999999999
2008,DC,Pregnancy Rate,40+,36.200000000000003
2009,DC,Pregnancy Rate,40+,34.399999999999999
2010,DC,Pregnancy Rate,40+,33.899999999999999
2011,DC,Pregnancy Rate,40+,31.300000000000001
2012,DC,Pregnancy Rate,40+,36
2013,DC,Pregnancy Rate,40+,34.299999999999997
2014,DC,Pregnancy Rate,40+,34.100000000000001
2015,DC,Pregnancy Rate,40+,33.299999999999997
2016,DC,Pregnancy Rate,40+,35.200000000000003
1988,FL,Pregnancy Rate,40+,8.5999999999999996
1992,FL,Pregnancy Rate,40+,10
1996,FL,Pregnancy Rate,40+,12.1
2000,FL,Pregnancy Rate,40+,13.4
2005,FL,Pregnancy Rate,40+,15.699999999999999
2006,FL,Pregnancy Rate,40+,15.9
2007,FL,Pregnancy Rate,40+,16.399999999999999
2008,FL,Pregnancy Rate,40+,16.699999999999999
2009,FL,Pregnancy Rate,40+,17
2010,FL,Pregnancy Rate,40+,17.399999999999999
2011,FL,Pregnancy Rate,40+,17.800000000000001
2012,FL,Pregnancy Rate,40+,17.699999999999999
2013,FL,Pregnancy Rate,40+,17.699999999999999
2014,FL,Pregnancy Rate,40+,17.800000000000001
2015,FL,Pregnancy Rate,40+,18.600000000000001
2016,FL,Pregnancy Rate,40+,18.899999999999999
1988,GA,Pregnancy Rate,40+,6.5999999999999996
1992,GA,Pregnancy Rate,40+,8.1999999999999993
1996,GA,Pregnancy Rate,40+,9.5
2000,GA,Pregnancy Rate,40+,11.1
2005,GA,Pregnancy Rate,40+,12.800000000000001
2006,GA,Pregnancy Rate,40+,13.300000000000001
2007,GA,Pregnancy Rate,40+,14.199999999999999
2008,GA,Pregnancy Rate,40+,14.6
2009,GA,Pregnancy Rate,40+,14.9
2010,GA,Pregnancy Rate,40+,15
2011,GA,Pregnancy Rate,40+,15.4
2012,GA,Pregnancy Rate,40+,15.800000000000001
2013,GA,Pregnancy Rate,40+,15.4
2014,GA,Pregnancy Rate,40+,15.9
2015,GA,Pregnancy Rate,40+,16.199999999999999
2016,GA,Pregnancy Rate,40+,16.100000000000001
1988,HI,Pregnancy Rate,40+,16.100000000000001
1992,HI,Pregnancy Rate,40+,17.5
1996,HI,Pregnancy Rate,40+,17.199999999999999
2000,HI,Pregnancy Rate,40+,18.899999999999999
2005,HI,Pregnancy Rate,40+,21.300000000000001
2006,HI,Pregnancy Rate,40+,22.100000000000001
2007,HI,Pregnancy Rate,40+,23.100000000000001
2008,HI,Pregnancy Rate,40+,24.800000000000001
2009,HI,Pregnancy Rate,40+,23.100000000000001
2010,HI,Pregnancy Rate,40+,24.5
2011,HI,Pregnancy Rate,40+,25.399999999999999
2012,HI,Pregnancy Rate,40+,26
2013,HI,Pregnancy Rate,40+,24.300000000000001
2014,HI,Pregnancy Rate,40+,25.800000000000001
2015,HI,Pregnancy Rate,40+,25.600000000000001
2016,HI,Pregnancy Rate,40+,25.399999999999999
1988,ID,Pregnancy Rate,40+,9.3000000000000007
1992,ID,Pregnancy Rate,40+,8.6999999999999993
1996,ID,Pregnancy Rate,40+,9.5
2000,ID,Pregnancy Rate,40+,11.699999999999999
2005,ID,Pregnancy Rate,40+,12.699999999999999
2006,ID,Pregnancy Rate,40+,11.199999999999999
2007,ID,Pregnancy Rate,40+,13.699999999999999
2008,ID,Pregnancy Rate,40+,12.6
2009,ID,Pregnancy Rate,40+,13.6
2010,ID,Pregnancy Rate,40+,12.699999999999999
2011,ID,Pregnancy Rate,40+,13.199999999999999
2012,ID,Pregnancy Rate,40+,13.800000000000001
2013,ID,Pregnancy Rate,40+,13.4
2014,ID,Pregnancy Rate,40+,13.1
2015,ID,Pregnancy Rate,40+,13.9
2016,ID,Pregnancy Rate,40+,14.4
1988,IL,Pregnancy Rate,40+,9.5999999999999996
1992,IL,Pregnancy Rate,40+,10.699999999999999
1996,IL,Pregnancy Rate,40+,12.4
2000,IL,Pregnancy Rate,40+,13.5
2005,IL,Pregnancy Rate,40+,15.5
2006,IL,Pregnancy Rate,40+,16
2007,IL,Pregnancy Rate,40+,16.199999999999999
2008,IL,Pregnancy Rate,40+,16.800000000000001
2009,IL,Pregnancy Rate,40+,17.600000000000001
2010,IL,Pregnancy Rate,40+,17.5
2011,IL,Pregnancy Rate,40+,17.399999999999999
2012,IL,Pregnancy Rate,40+,17.600000000000001
2013,IL,Pregnancy Rate,40+,17.699999999999999
2014,IL,Pregnancy Rate,40+,18
2015,IL,Pregnancy Rate,40+,18.100000000000001
2016,IL,Pregnancy Rate,40+,18.800000000000001
1988,IN,Pregnancy Rate,40+,5.7000000000000002
1992,IN,Pregnancy Rate,40+,6.5
1996,IN,Pregnancy Rate,40+,7.4000000000000004
2000,IN,Pregnancy Rate,40+,8.8000000000000007
2005,IN,Pregnancy Rate,40+,9.8000000000000007
2006,IN,Pregnancy Rate,40+,9.5
2007,IN,Pregnancy Rate,40+,9.6999999999999993
2008,IN,Pregnancy Rate,40+,10.1
2009,IN,Pregnancy Rate,40+,10.6
2010,IN,Pregnancy Rate,40+,10.6
2011,IN,Pregnancy Rate,40+,10.9
2012,IN,Pregnancy Rate,40+,10.4
2013,IN,Pregnancy Rate,40+,10.6
2014,IN,Pregnancy Rate,40+,10.9
2015,IN,Pregnancy Rate,40+,11.4
2016,IN,Pregnancy Rate,40+,12
1988,IA,Pregnancy Rate,40+,5.9000000000000004
1992,IA,Pregnancy Rate,40+,6.4000000000000004
1996,IA,Pregnancy Rate,40+,7.7999999999999998
2000,IA,Pregnancy Rate,40+,8.3000000000000007
2005,IA,Pregnancy Rate,40+,9.9000000000000004
2006,IA,Pregnancy Rate,40+,10
2007,IA,Pregnancy Rate,40+,10.6
2008,IA,Pregnancy Rate,40+,11.300000000000001
2009,IA,Pregnancy Rate,40+,11.6
2010,IA,Pregnancy Rate,40+,12.6
2011,IA,Pregnancy Rate,40+,11.800000000000001
2012,IA,Pregnancy Rate,40+,11.699999999999999
2013,IA,Pregnancy Rate,40+,11
2014,IA,Pregnancy Rate,40+,10.9
2015,IA,Pregnancy Rate,40+,11.300000000000001
2016,IA,Pregnancy Rate,40+,12.300000000000001
1988,KS,Pregnancy Rate,40+,6.2999999999999998
1992,KS,Pregnancy Rate,40+,7.2000000000000002
1996,KS,Pregnancy Rate,40+,8.5
2000,KS,Pregnancy Rate,40+,10.6
2005,KS,Pregnancy Rate,40+,11.1
2006,KS,Pregnancy Rate,40+,11.699999999999999
2007,KS,Pregnancy Rate,40+,12.1
2008,KS,Pregnancy Rate,40+,11.699999999999999
2009,KS,Pregnancy Rate,40+,12.199999999999999
2010,KS,Pregnancy Rate,40+,12.9
2011,KS,Pregnancy Rate,40+,11.9
2012,KS,Pregnancy Rate,40+,12.5
2013,KS,Pregnancy Rate,40+,12.6
2014,KS,Pregnancy Rate,40+,11.9
2015,KS,Pregnancy Rate,40+,12.699999999999999
2016,KS,Pregnancy Rate,40+,12.9
1988,KY,Pregnancy Rate,40+,4.5
1992,KY,Pregnancy Rate,40+,5.4000000000000004
1996,KY,Pregnancy Rate,40+,5.7000000000000002
2000,KY,Pregnancy Rate,40+,6.9000000000000004
2005,KY,Pregnancy Rate,40+,8
2006,KY,Pregnancy Rate,40+,8.0999999999999996
2007,KY,Pregnancy Rate,40+,8.9000000000000004
2008,KY,Pregnancy Rate,40+,8.9000000000000004
2009,KY,Pregnancy Rate,40+,9.0999999999999996
2010,KY,Pregnancy Rate,40+,9.5
2011,KY,Pregnancy Rate,40+,9.5
2012,KY,Pregnancy Rate,40+,8.9000000000000004
2013,KY,Pregnancy Rate,40+,9.3000000000000007
2014,KY,Pregnancy Rate,40+,9
2015,KY,Pregnancy Rate,40+,10
2016,KY,Pregnancy Rate,40+,9.8000000000000007
1988,LA,Pregnancy Rate,40+,7.9000000000000004
1992,LA,Pregnancy Rate,40+,6.9000000000000004
1996,LA,Pregnancy Rate,40+,8.3000000000000007
2000,LA,Pregnancy Rate,40+,7.9000000000000004
2005,LA,Pregnancy Rate,40+,9
2006,LA,Pregnancy Rate,40+,9.5999999999999996
2007,LA,Pregnancy Rate,40+,9.6999999999999993
2008,LA,Pregnancy Rate,40+,10
2009,LA,Pregnancy Rate,40+,10.6
2010,LA,Pregnancy Rate,40+,10.4
2011,LA,Pregnancy Rate,40+,10.300000000000001
2012,LA,Pregnancy Rate,40+,10.199999999999999
2013,LA,Pregnancy Rate,40+,10.9
2014,LA,Pregnancy Rate,40+,10.5
2015,LA,Pregnancy Rate,40+,11.699999999999999
2016,LA,Pregnancy Rate,40+,12.199999999999999
1988,ME,Pregnancy Rate,40+,5.9000000000000004
1992,ME,Pregnancy Rate,40+,7.0999999999999996
